"filename", "language", "C++", "Python", "comment", "blank", "total"
"/Users/vesperal_kite/important_files/Graphitron/src/backend/gen_ScatterGather_decl.cpp", "C++", -133, 0, -7, -9, -149
"/Users/vesperal_kite/important_files/Graphitron/src/backend/gen_Stmt.cpp", "C++", -177, 0, -4, -10, -191
"/Users/vesperal_kite/important_files/Graphitron/src/backend/gen_Type.cpp", "C++", -43, 0, -5, -8, -56
"/Users/vesperal_kite/important_files/Graphitron/src/default_schedule.cpp", "C++", -5, 0, 0, -2, -7
"/Users/vesperal_kite/important_files/Graphitron/src/frontend/error.cpp", "C++", -80, 0, -7, -18, -105
"/Users/vesperal_kite/important_files/Graphitron/src/frontend/fir.cpp", "C++", -18, 0, -3, -6, -27
"/Users/vesperal_kite/important_files/Graphitron/src/frontend/fir_printer.cpp", "C++", -520, 0, -4, -116, -640
"/Users/vesperal_kite/important_files/Graphitron/src/frontend/fir_visitor.cpp", "C++", -249, 0, -4, -62, -315
"/Users/vesperal_kite/important_files/Graphitron/src/frontend/frontend.cpp", "C++", -18, 0, -6, -9, -33
"/Users/vesperal_kite/important_files/Graphitron/src/frontend/parser.cpp", "C++", -1119, 0, -127, -264, -1510
"/Users/vesperal_kite/important_files/Graphitron/src/frontend/scanner.cpp", "C++", -390, 0, -14, -29, -433
"/Users/vesperal_kite/important_files/Graphitron/src/frontend/token.cpp", "C++", -255, 0, -4, -31, -290
"/Users/vesperal_kite/important_files/Graphitron/src/graphitronc.py", "Python", 0, -76, -10, -26, -112
"/Users/vesperal_kite/important_files/Graphitron/src/main.cpp", "C++", -48, 0, -10, -16, -74
"/Users/vesperal_kite/important_files/Graphitron/src/midend/configuration_lower.cpp", "C++", -44, 0, -11, -10, -65
"/Users/vesperal_kite/important_files/Graphitron/src/midend/edgeset_lower.cpp", "C++", -23, 0, -3, -2, -28
"/Users/vesperal_kite/important_files/Graphitron/src/midend/midend.cpp", "C++", -163, 0, -3, -2, -168
"/Users/vesperal_kite/important_files/Graphitron/src/midend/mir.cpp", "C++", -5, 0, -3, -3, -11
"/Users/vesperal_kite/important_files/Graphitron/src/midend/mir_context.cpp", "C++", -3, 0, -3, -2, -8
"/Users/vesperal_kite/important_files/Graphitron/src/midend/mir_emitter.cpp", "C++", -750, 0, -53, -155, -958
"/Users/vesperal_kite/important_files/Graphitron/src/midend/mir_lower.cpp", "C++", -12, 0, -3, -2, -17
"/Users/vesperal_kite/important_files/Graphitron/src/midend/mir_printer.cpp", "C++", -35, 0, -3, -9, -47
"/Users/vesperal_kite/important_files/Graphitron/src/midend/mir_visitor.cpp", "C++", -203, 0, -4, -50, -257
"/Users/vesperal_kite/important_files/Graphitron/src/midend/mri_rewriter.cpp", "C++", -13, 0, -3, -3, -19
"/Users/vesperal_kite/important_files/Graphitron/src/midend/parameter.cpp", "C++", -212, 0, -3, -53, -268
"/Users/vesperal_kite/important_files/Graphitron/src/midend/parameter_space.cpp", "C++", -52, 0, -3, -2, -57
"/Users/vesperal_kite/important_files/Graphitron/src/midend/prop_array_lower.cpp", "C++", -20, 0, -3, -2, -25
"/Users/vesperal_kite/important_files/Graphitron/src/utils/exec_cmd.cpp", "C++", -13, 0, -3, -2, -18
"/Users/vesperal_kite/important_files/Graphitron/src/utils/util.cpp", "C++", -166, 0, -5, -22, -193
"Total", "-", -2774, -76, 173, 162, -2515
